user_id,group,rounds_total,ret_7
10636,level_10,246,1
10637,level_25,0,0
10676,level_25,6,0
10756,level_10,16,0
10884,level_25,49,0
11093,level_25,54,1
11127,level_10,66,1
11297,level_10,0,0
11411,level_10,122,1
11420,level_10,75,0
11599,level_10,3,0
11675,level_25,17,0
11747,level_10,1,0
11840,level_10,24,0
11886,level_10,3,0
12053,level_10,11,0
12067,level_25,7,0
12163,level_10,47,0
12393,level_25,1,0
12461,level_25,4,0
12523,level_10,31,0
12558,level_10,13,0
12574,level_10,22,0
12749,level_10,6,0
12905,level_25,1,0
12951,level_25,2,0
12967,level_10,24,0
12979,level_10,6,0
13133,level_25,6,0
13216,level_10,24,0
13228,level_25,9,0
13320,level_25,34,0
13321,level_25,56,0
13376,level_25,12,0
13429,level_10,60,1
13494,level_25,10,0
13633,level_10,67,0
13664,level_10,42,1
13721,level_25,65,0
13758,level_10,1,0
13806,level_10,4,0
13856,level_10,3,0
13872,level_10,1,0
13893,level_25,14,0
13969,level_25,42,0
14143,level_10,13,0
14218,level_10,129,1
14290,level_25,6,0
14296,level_10,37,0
14381,level_25,9,0
14592,level_10,1,0
14644,level_25,2,0
14834,level_10,27,0
15157,level_25,38,0
15173,level_10,8,0
15294,level_10,51,1
15489,level_10,5,0
15597,level_25,2,0
15962,level_10,0,0
15970,level_25,16,0
16096,level_25,0,0
16145,level_25,7,0
16180,level_10,5,0
16224,level_25,0,0
16454,level_25,11,0
16504,level_25,0,0
16506,level_10,4,0
16638,level_25,51,0
16696,level_25,5,0
17085,level_25,33,0
17167,level_10,21,0
17270,level_10,49,0
17422,level_25,2,0
17461,level_10,1,0
17477,level_10,46,1
17506,level_25,127,1
17554,level_10,1,0
17814,level_10,14,0
17903,level_25,17,0
17947,level_10,104,1
17995,level_10,6,0
18013,level_25,21,0
18213,level_25,36,0
18235,level_10,8,0
18374,level_25,53,0
18731,level_10,1,0
18756,level_10,38,1
18778,level_10,13,0
18827,level_10,20,0
18849,level_25,74,1
18993,level_25,25,0
19077,level_10,11,0
19091,level_25,1,0
19474,level_25,2,0
19490,level_10,72,0
19529,level_25,22,0
19537,level_25,2,0
19593,level_25,18,0
19673,level_25,4,0
19721,level_25,18,0
19728,level_25,79,1
19746,level_10,65,1
19896,level_25,13,0
19993,level_10,5,0
20005,level_10,4,0
20052,level_10,8,0
20136,level_10,0,0
20358,level_25,19,1
20365,level_25,6,0
20465,level_10,108,0
20489,level_25,2,0
20587,level_25,26,0
20591,level_25,2,0
20721,level_25,99,1
20763,level_10,10,0
20790,level_25,5,0
20832,level_10,13,0
20940,level_25,1,0
21072,level_25,16,0
21130,level_25,1,0
21137,level_25,91,0
21228,level_25,149,1
21408,level_10,20,0
21442,level_25,68,0
21755,level_25,12,1
22069,level_25,7,0
22082,level_25,3,0
22167,level_25,277,1
22299,level_25,493,1
22398,level_10,4,0
22486,level_25,3,0
22676,level_25,8,0
22919,level_25,1,0
22935,level_10,274,1
22972,level_10,17,0
23023,level_25,32,1
23026,level_25,1,0
23084,level_25,85,1
23094,level_25,12,0
23126,level_25,1,0
23270,level_10,8,0
23333,level_10,9,0
23374,level_10,8,0
23525,level_25,191,1
23702,level_25,115,0
23748,level_25,45,0
24036,level_25,15,0
24222,level_10,134,1
24302,level_25,19,0
24328,level_10,2,0
24382,level_10,22,0
24397,level_10,6,0
24981,level_25,18,0
25047,level_10,0,0
25281,level_10,0,0
25293,level_25,12,0
25332,level_10,152,1
25466,level_25,2,0
25903,level_10,8,0
25941,level_25,73,0
25958,level_10,0,0
26083,level_10,100,1
26243,level_25,250,1
26253,level_10,10,0
26466,level_25,13,0
26502,level_10,147,1
26586,level_10,391,0
27135,level_10,18,0
27163,level_25,23,0
27605,level_10,19,0
27693,level_10,4,0
27754,level_10,14,0
27759,level_10,61,1
27849,level_25,61,0
27851,level_25,75,0
27979,level_10,75,0
28025,level_10,57,0
28091,level_10,35,0
28123,level_10,9,0
28332,level_10,13,0
28405,level_10,1,0
28433,level_10,20,0
28497,level_25,77,1
29185,level_25,3,0
29311,level_25,7,0
29317,level_25,6,0
29455,level_10,51,1
29522,level_25,197,1
29658,level_10,2,0
29677,level_25,22,0
29753,level_25,69,0
29861,level_25,4,0
29999,level_10,260,1
30039,level_25,20,0
30059,level_10,4,0
30274,level_10,7,0
30277,level_10,0,0
30343,level_10,8,1
30348,level_10,48,1
30594,level_25,15,0
30631,level_10,61,1
30868,level_10,1,0
30928,level_10,12,0
31073,level_10,270,1
31151,level_10,59,0
31200,level_10,141,0
31214,level_10,53,1
31222,level_25,20,0
31638,level_25,16,0
31691,level_10,0,0
31812,level_10,37,0
31903,level_10,467,1
32292,level_25,25,0
32403,level_25,2,0
32569,level_25,4,0
32595,level_25,11,0
32642,level_10,40,0
32730,level_10,9,0
32942,level_25,11,1
33097,level_10,12,0
33126,level_10,6,0
33189,level_25,9,0
33274,level_25,4,0
33316,level_25,18,0
33445,level_10,77,1
33489,level_10,4,0
33639,level_25,45,0
33703,level_25,43,0
33794,level_10,3,0
33954,level_25,30,0
33967,level_10,33,1
34016,level_25,47,0
34022,level_25,72,1
34027,level_25,16,0
34076,level_25,2,0
34447,level_25,93,1
34469,level_10,222,1
34597,level_25,334,1
34647,level_25,8,0
34706,level_10,29,0
34842,level_25,27,0
34859,level_10,16,0
34906,level_10,10,0
34942,level_25,8,0
35027,level_25,58,0
35056,level_10,84,0
35156,level_10,1,0
35458,level_25,56,0
35460,level_10,43,0
35730,level_10,50,0
35837,level_10,23,0
35886,level_10,5,0
35922,level_10,21,0
36003,level_10,48,0
36047,level_25,85,1
36077,level_10,13,0
36279,level_10,41,0
36280,level_10,5,0
36298,level_25,1,0
36356,level_10,303,1
36513,level_25,18,0
36560,level_25,48,0
36622,level_10,4,0
36664,level_25,51,1
36673,level_10,5,0
36761,level_25,134,1
36887,level_25,11,0
36921,level_10,3,0
36997,level_25,9,0
37155,level_25,3,0
37303,level_10,177,1
37366,level_25,11,0
37461,level_25,20,1
37740,level_10,39,1
37823,level_10,12,0
37872,level_10,12,0
37994,level_25,2,0
38151,level_10,9,0
38232,level_10,216,1
38249,level_25,30,0
38292,level_10,9,0
39069,level_10,227,0
39382,level_10,0,0
39494,level_10,87,0
39531,level_10,71,0
39774,level_25,567,1
39902,level_25,13,0
39932,level_10,55,1
39993,level_25,14,0
40233,level_25,78,0
40292,level_10,1,0
40359,level_10,3,0
40378,level_10,552,1
40427,level_10,96,0
40566,level_10,2,0
40593,level_10,12,1
40630,level_25,99,0
40653,level_10,107,0
40687,level_10,12,0
40749,level_25,2,0
40812,level_25,2,0
41112,level_10,4,0
41192,level_10,28,0
41378,level_25,9,0
41795,level_10,136,1
41842,level_25,15,0
41934,level_25,8,0
41988,level_25,1,0
42077,level_10,12,0
42316,level_10,6,0
42407,level_10,45,1
42457,level_10,12,0
42688,level_25,13,0
42703,level_10,9,0
42758,level_25,11,0
42994,level_25,113,1
43091,level_10,6,0
43368,level_25,32,0
43644,level_10,17,0
43744,level_10,141,0
43757,level_10,28,0
44400,level_25,95,0
44493,level_25,339,1
44498,level_10,24,0
44591,level_10,5,0
44670,level_10,6,0
44751,level_10,10,0
44780,level_10,9,0
44910,level_25,6,0
45066,level_10,85,0
45083,level_25,54,0
45167,level_10,19,0
45694,level_25,6,0
45698,level_10,452,1
45753,level_10,26,0
45813,level_25,12,0
45895,level_25,2,0
45896,level_25,11,0
45952,level_25,3,0
46007,level_10,6,0
46022,level_25,7,0
46347,level_10,57,0
46472,level_25,16,0
46576,level_10,15,0
46624,level_25,148,1
46629,level_25,57,0
46746,level_25,3,0
46806,level_10,163,1
46919,level_25,47,0
46938,level_10,54,0
47377,level_25,2,0
47816,level_10,220,1
47822,level_25,63,1
47990,level_25,25,0
48016,level_10,0,0
48116,level_10,1,0
48130,level_10,2,0
48201,level_25,84,1
48631,level_25,60,0
48658,level_10,216,1
48677,level_25,17,0
48942,level_10,290,1
48990,level_25,3,0
49147,level_25,24,0
49311,level_25,5,0
49330,level_10,18,0
49373,level_10,5,0
49600,level_10,20,0
49811,level_25,9,0
49995,level_25,15,0
50011,level_25,4,0
50158,level_25,87,1
50237,level_25,86,0
50339,level_25,0,0
50386,level_25,4,0
50547,level_10,356,0
50665,level_10,10,0
50686,level_25,3,1
50688,level_10,0,0
50794,level_25,0,0
50811,level_10,3,0
50850,level_10,34,1
51155,level_10,34,0
51267,level_10,0,0
51295,level_10,117,1
51310,level_10,23,1
51430,level_10,34,0
51636,level_25,8,0
51641,level_25,20,0
51823,level_25,54,1
51894,level_10,4,0
51970,level_25,76,1
52100,level_25,55,0
52177,level_25,3,0
52271,level_25,2,0
52357,level_10,22,0
52420,level_10,15,1
52636,level_25,3,0
53149,level_25,4,0
53373,level_25,298,1
53393,level_10,338,1
53450,level_25,1,0
53464,level_25,12,0
53470,level_25,7,0
53597,level_25,5,0
53638,level_10,16,0
53763,level_10,9,0
53935,level_25,4,0
53996,level_25,115,1
54069,level_10,170,1
54162,level_10,174,1
54178,level_10,21,0
54244,level_25,4,0
54256,level_25,6,0
54403,level_10,6,0
54580,level_10,22,0
54617,level_25,12,0
54680,level_25,2,0
54681,level_25,2,0
54754,level_10,70,0
54776,level_10,0,0
54975,level_10,3,0
55139,level_10,25,0
55213,level_25,141,1
55250,level_25,47,1
55480,level_10,1,0
55621,level_10,32,0
56116,level_25,3,0
56237,level_25,10,0
56269,level_10,2,0
56294,level_25,2,0
56446,level_10,15,0
56496,level_25,543,1
56522,level_10,10,0
56587,level_25,54,0
56815,level_10,202,1
56895,level_25,2,0
56997,level_25,41,0
57149,level_10,15,0
57321,level_10,54,0
57334,level_25,5,0
57339,level_25,22,0
57369,level_25,399,1
57401,level_10,13,0
57429,level_25,29,0
57516,level_10,38,1
57833,level_25,0,0
58180,level_25,19,0
58189,level_10,23,0
58289,level_10,237,1
58394,level_25,25,0
58592,level_25,85,0
58700,level_10,0,0
58768,level_10,11,0
58813,level_25,1,0
59164,level_10,7,0
59395,level_10,33,1
59531,level_10,18,0
60035,level_25,14,0
60103,level_25,18,0
60160,level_25,11,0
60410,level_25,26,0
60424,level_10,6,0
60619,level_25,65,0
60929,level_25,16,0
60956,level_25,17,0
60984,level_10,139,1
61104,level_10,0,0
61245,level_10,24,0
61462,level_10,23,0
61563,level_10,7,0
61595,level_25,29,0
61609,level_10,4,0
61651,level_10,3,0
61952,level_10,19,0
61979,level_10,2,0
62084,level_10,12,0
62145,level_25,1,0
62206,level_10,0,0
62434,level_10,6,0
62437,level_25,5,0
62566,level_25,67,0
62700,level_25,36,1
62704,level_25,2,0
62879,level_10,1,0
63001,level_25,33,0
63335,level_10,9,0
63370,level_10,179,1
63473,level_10,1,0
63478,level_10,202,1
63480,level_10,9,0
63555,level_25,43,0
63617,level_10,902,1
63766,level_10,6,0
63786,level_25,22,0
63832,level_10,1,0
63889,level_10,9,1
63962,level_10,4,0
64052,level_10,1,0
64224,level_25,15,1
64235,level_10,1,0
64309,level_25,125,0
64643,level_25,24,0
64646,level_25,1,1
64792,level_10,269,0
64849,level_25,31,0
64930,level_10,510,0
64944,level_25,62,0
65032,level_25,5,0
65452,level_10,16,0
65482,level_25,10,0
65511,level_10,4,0
66120,level_25,28,0
66509,level_10,46,0
66677,level_25,1,0
66713,level_25,4,0
66947,level_25,13,0
67078,level_10,9,0
67122,level_10,18,0
67190,level_25,15,0
67193,level_25,1,0
67234,level_10,3,0
67387,level_10,12,0
67654,level_25,8,0
67829,level_25,0,0
67910,level_25,18,0
67950,level_10,7,0
68020,level_25,52,1
68112,level_10,0,0
68151,level_25,136,0
68386,level_10,5,0
68394,level_25,474,1
68406,level_25,5,0
68485,level_10,26,0
68698,level_25,83,0
68856,level_10,1,0
68887,level_25,1,0
68915,level_25,121,0
68965,level_25,105,1
69027,level_25,2,0
69050,level_10,20,0
69392,level_10,46,0
69488,level_10,5,0
69649,level_25,80,1
69870,level_25,210,1
69917,level_25,16,0
69927,level_10,1906,1
69998,level_10,16,0
70074,level_10,0,0
70127,level_10,1,0
70175,level_25,35,1
70294,level_25,199,0
70522,level_25,6,0
70570,level_10,5,0
70899,level_25,3,0
71062,level_10,25,0
71119,level_10,118,1
71161,level_25,68,0
71165,level_25,105,0
71205,level_10,5,0
71235,level_10,38,0
71326,level_25,8,0
71489,level_10,7,0
71635,level_10,4,0
71698,level_10,6,0
71777,level_25,12,0
72085,level_25,103,0
72164,level_10,259,1
72353,level_25,5,0
72419,level_25,12,0
72470,level_25,6,0
72555,level_10,298,1
72614,level_25,3,0
72661,level_25,1,0
72752,level_25,15,0
72813,level_10,6,0
72872,level_10,10,0
72918,level_25,13,0
72977,level_25,12,0
73378,level_25,34,0
73412,level_10,3,0
73868,level_25,2,0
74231,level_10,7,0
74276,level_10,24,1
74369,level_25,7,0
74377,level_10,53,0
74422,level_25,38,1
74568,level_10,11,0
75029,level_25,98,0
75734,level_25,4,0
76062,level_10,5,0
76089,level_25,3,0
76133,level_10,50,0
76549,level_10,149,1
76573,level_10,20,0
76598,level_10,1,0
76662,level_25,30,0
76767,level_25,4,0
76784,level_25,53,0
76895,level_25,5,0
76917,level_10,113,0
76934,level_25,2,0
77151,level_25,2,0
77172,level_10,0,0
77195,level_25,25,0
77468,level_10,12,0
77495,level_25,59,0
77644,level_10,15,0
77731,level_10,106,1
77812,level_25,2,0
77821,level_25,7,0
77837,level_25,6,0
77850,level_10,59,0
78089,level_10,47,0
78142,level_25,1,0
78183,level_10,34,0
78237,level_10,4,0
78312,level_10,12,0
78409,level_10,15,0
78563,level_25,32,0
78846,level_10,0,0
78900,level_10,2,0
79646,level_25,34,0
79890,level_10,11,0
79929,level_25,16,0
80215,level_25,2,0
80282,level_10,128,1
80485,level_25,9,0
80496,level_25,0,0
80526,level_10,34,1
80582,level_25,7,0
80618,level_25,7,0
80634,level_25,215,1
80746,level_10,1,0
80754,level_25,0,0
80860,level_25,231,0
80884,level_10,5,0
80900,level_25,16,0
81447,level_10,34,0
81480,level_25,2,0
81524,level_10,34,0
81532,level_10,2,0
81668,level_25,12,0
81959,level_25,6,0
82064,level_10,41,0
82545,level_25,36,0
82655,level_25,13,0
82753,level_10,3,0
82783,level_25,36,1
82937,level_25,28,0
83072,level_10,11,0
83080,level_25,12,0
83103,level_10,7,0
83140,level_25,14,0
83254,level_10,3,0
83309,level_25,0,0
83317,level_25,5,0
83438,level_25,129,1
83732,level_25,95,1
83798,level_25,96,0
84100,level_10,160,0
84191,level_10,0,0
84208,level_25,17,0
84406,level_25,24,0
84816,level_25,11,0
84929,level_25,6,0
84961,level_25,26,0
85007,level_25,110,1
85277,level_10,61,1
85560,level_10,5,0
85601,level_10,15,0
85805,level_25,3,0
86342,level_10,12,0
86781,level_25,1,0
86821,level_25,65,0
87098,level_25,2,0
87220,level_25,18,0
87258,level_25,275,1
87276,level_10,19,1
87410,level_10,26,0
87419,level_10,46,0
87509,level_25,3,0
87542,level_10,40,0
87640,level_25,13,0
87649,level_25,8,0
87671,level_25,2,0
87697,level_25,3,0
87728,level_25,4,0
87827,level_10,37,0
88235,level_25,11,0
88282,level_10,22,0
88361,level_25,55,1
88392,level_10,20,0
88497,level_10,197,1
88521,level_25,44,0
88907,level_10,133,0
89272,level_25,0,0
89605,level_25,2,0
89618,level_10,21,0
90120,level_10,2,0
90233,level_10,5,0
90335,level_25,2,0
90481,level_25,14,0
90566,level_10,0,0
90640,level_10,44,1
90744,level_10,14,0
90755,level_10,76,0
90892,level_10,52,0
90916,level_25,88,1
90979,level_10,36,0
90992,level_25,66,0
91010,level_25,70,0
91027,level_10,2,0
91045,level_25,44,0
92061,level_25,98,0
92161,level_10,18,0
92162,level_10,9,0
92168,level_25,6,0
92286,level_10,3,0
92463,level_25,2,0
92638,level_25,54,0
92789,level_25,4,0
92914,level_25,13,1
93014,level_10,0,0
93131,level_25,8,0
93166,level_10,10,0
93241,level_10,18,0
93289,level_25,0,0
93646,level_10,33,0
93914,level_25,9,0
93957,level_10,6,1
93997,level_10,2,0
94159,level_10,79,1
94282,level_25,9,0
94407,level_10,1,0
94455,level_25,35,1
94639,level_10,4,0
94768,level_10,9,0
94904,level_10,43,0
95033,level_10,42,0
95357,level_25,6,1
95371,level_10,282,1
95530,level_10,11,0
95696,level_25,42,1
95946,level_10,16,0
96038,level_25,132,1
96058,level_10,49,1
96076,level_10,95,1
96123,level_25,3,0
96471,level_10,183,0
96535,level_25,24,0
96561,level_25,112,1
96675,level_10,70,1
96744,level_10,332,1
96745,level_25,100,1
97019,level_10,3,0
97308,level_10,798,1
97461,level_25,4,0
97741,level_10,0,0
97754,level_10,27,0
97777,level_25,41,0
97849,level_10,81,1
97873,level_25,49,0
97971,level_10,142,1
98151,level_10,31,0
98229,level_10,5,0
98354,level_25,35,0
98592,level_25,4,0
98833,level_10,3,0
98955,level_10,16,0
99178,level_10,12,0
99252,level_25,48,0
99264,level_10,8,0
99307,level_25,6,0
99411,level_25,13,0
99583,level_25,35,0
99630,level_10,4,0
99631,level_25,9,0
99806,level_10,7,0
99912,level_25,27,0
99928,level_25,83,0
99944,level_25,3,0
99976,level_10,3,0
100026,level_25,3,0
100084,level_10,143,1
100151,level_25,39,1
100214,level_25,114,1
100367,level_10,71,0
100511,level_10,13,0
100556,level_25,63,1
100585,level_10,75,0
100807,level_10,27,0
100899,level_25,15,0
100933,level_10,8,0
101024,level_25,17,0
101041,level_10,95,0
101248,level_25,6,0
101591,level_10,186,1
101601,level_10,50,0
101664,level_10,129,0
101675,level_25,1,0
101697,level_25,4,0
101864,level_25,30,0
101880,level_10,1,0
101884,level_25,3,0
101915,level_10,164,1
101953,level_25,1,0
101961,level_25,9,0
102182,level_25,6,0
102302,level_25,78,1
102540,level_10,249,1
102573,level_25,34,0
102598,level_10,29,0
102742,level_25,18,0
102748,level_25,4,0
102753,level_10,14,0
102931,level_10,2,0
102977,level_10,8,1
103095,level_25,47,0
103308,level_25,3,0
103414,level_10,345,0
103463,level_25,1,0
103498,level_10,50,1
103555,level_10,13,0
103557,level_25,57,0
103625,level_10,7,0
103714,level_10,13,0
103804,level_10,27,0
104157,level_25,59,0
104158,level_25,16,1
104211,level_10,51,0
104553,level_10,4,0
104563,level_25,7,0
104577,level_10,546,1
104592,level_25,45,0
104686,level_10,28,0
104694,level_10,82,1
104796,level_10,394,1
104800,level_10,5,0
104899,level_25,227,1
104999,level_25,258,1
105277,level_10,56,0
105342,level_25,0,0
105632,level_25,52,0
105700,level_10,8,0
105948,level_10,0,0
106093,level_10,5,0
106422,level_25,8,0
106423,level_10,1,0
106447,level_10,19,0
106487,level_10,11,0
106523,level_25,6,0
106600,level_10,375,1
106828,level_10,9,0
106895,level_10,4,0
107040,level_25,57,0
107169,level_25,2,0
107563,level_10,39,0
107617,level_10,8,0
107662,level_10,1,0
107670,level_10,7,0
107936,level_25,2,0
107981,level_10,51,0
108052,level_25,4,0
108068,level_10,0,0
108134,level_10,54,1
108287,level_10,10,0
108303,level_25,11,0
108320,level_25,3,0
108454,level_10,35,1
108535,level_25,39,0
108608,level_10,7,0
108668,level_25,19,0
108753,level_25,3,0
109109,level_10,7,0
109111,level_25,6,0
109151,level_25,109,0
109158,level_25,106,0
109300,level_25,0,0
109366,level_25,158,1
109431,level_10,60,0
109458,level_25,0,0
109556,level_10,13,0
109578,level_10,35,0
109745,level_25,7,0
109757,level_10,29,1
109796,level_25,0,0
109838,level_10,9,0
109991,level_10,519,1
110004,level_10,73,0
110329,level_25,2,0
110479,level_10,0,1
110528,level_10,5,0
110634,level_10,10,0
110750,level_25,10,0
111162,level_10,5,0
111196,level_25,52,0
111362,level_25,56,0
111382,level_25,42,1
111496,level_10,26,0
111540,level_25,19,0
111949,level_10,20,0
111961,level_25,34,0
111981,level_25,1,0
112127,level_10,7,0
112216,level_25,77,0
112251,level_10,9,0
112355,level_25,0,0
112365,level_25,41,0
112375,level_10,26,0
112718,level_10,553,1
113086,level_25,11,0
113087,level_25,260,1
113325,level_10,86,1
113378,level_25,47,1
113462,level_10,175,0
113497,level_10,28,0
113563,level_10,11,0
113607,level_10,25,0
113621,level_25,44,1
113666,level_10,81,1
113725,level_25,47,0
113800,level_10,37,0
113888,level_10,11,0
114118,level_10,3,0
114278,level_10,2,0
114320,level_10,26,0
114360,level_25,2,0
114521,level_10,0,0
114532,level_10,8,0
114626,level_25,11,0
114859,level_10,23,0
114985,level_25,3,0
115234,level_10,123,1
115235,level_10,2,0
115498,level_25,104,0
115774,level_25,28,0
115813,level_25,1,0
115854,level_25,21,0
115980,level_25,3,0
116002,level_10,281,1
116099,level_25,19,0
116198,level_10,20,0
116247,level_10,240,1
116336,level_10,2,0
116382,level_25,69,1
116423,level_10,33,0
116430,level_10,15,0
116439,level_25,14,0
116590,level_10,45,0
116653,level_25,17,0
116793,level_25,275,1
116828,level_10,11,0
117026,level_10,317,0
117186,level_25,2,0
117195,level_25,1,0
117242,level_10,90,0
117481,level_10,15,0
117700,level_25,90,0
117728,level_25,14,0
117763,level_25,6,0
117868,level_10,190,0
117918,level_25,11,0
117992,level_10,142,1
118091,level_25,8,0
118189,level_10,50,0
118204,level_10,3,0
118555,level_25,6,0
118654,level_25,192,1
118690,level_10,8,0
118773,level_25,0,0
119142,level_10,28,0
119209,level_25,343,1
119231,level_10,6,0
119331,level_10,10,1
119464,level_10,2,0
119507,level_10,3,0
119591,level_25,11,0
119742,level_10,191,1
119784,level_10,2,0
120131,level_25,3,0
120587,level_10,45,0
120662,level_25,8,1
120664,level_25,20,0
120771,level_10,16,0
120978,level_10,18,0
121148,level_25,52,0
121179,level_10,3,0
121303,level_10,1374,1
121409,level_10,2,0
121431,level_25,3,0
121476,level_10,4,0
121571,level_10,8,0
121738,level_25,19,0
122133,level_10,3,0
122211,level_10,4,0
122299,level_25,65,0
122334,level_10,1,0
122533,level_10,199,1
122635,level_10,24,0
122690,level_25,3,0
122817,level_25,74,0
122975,level_10,197,1
122981,level_10,40,0
123038,level_25,9,0
123083,level_25,29,0
123121,level_25,66,0
123318,level_25,48,0
123406,level_25,14,0
123522,level_25,15,0
123638,level_10,50,0
123904,level_10,2,0
123937,level_25,39,0
124004,level_10,16,0
124022,level_10,6,0
124379,level_25,124,1
124432,level_25,0,0
124568,level_25,4,0
124702,level_10,93,1
124729,level_10,41,0
124759,level_10,2,0
124945,level_10,16,0
125019,level_10,8,0
125035,level_25,4,0
125058,level_10,38,0
125379,level_10,91,1
125416,level_10,19,0
125523,level_10,344,1
125735,level_25,73,0
125749,level_25,11,0
125752,level_10,2,0
125925,level_10,51,0
125951,level_10,1,0
125996,level_25,33,1
126043,level_25,142,0
126289,level_10,44,0
126418,level_25,44,0
126645,level_10,222,1
126812,level_10,11,0
126972,level_25,14,0
127003,level_25,6,0
127428,level_10,12,0
127467,level_25,15,0
127487,level_10,200,1
127596,level_25,6,0
127794,level_10,35,0
127814,level_10,3,0
127839,level_10,5,1
127893,level_10,13,0
128079,level_10,17,0
128334,level_10,3,0
128346,level_10,43,0
128355,level_25,4,0
128450,level_25,2,0
128547,level_25,64,0
128817,level_10,399,1
128956,level_10,60,0
128989,level_25,216,0
129110,level_25,42,0
129131,level_25,18,0
129156,level_25,15,0
129203,level_25,1,0
129208,level_10,14,0
129260,level_10,129,1
129284,level_25,2,0
129335,level_25,2,0
129391,level_10,26,0
129682,level_10,12,0
129826,level_25,13,0
130176,level_25,17,0
130250,level_25,13,0
130260,level_10,7,0
130271,level_10,23,0
130391,level_10,33,0
130412,level_10,38,0
130417,level_25,36,1
130572,level_25,55,0
130879,level_10,159,1
131233,level_10,11,0
131261,level_10,4,0
131314,level_10,2,0
131358,level_25,69,1
131740,level_10,74,0
132154,level_10,4,0
132240,level_10,4,0
132330,level_10,113,0
132503,level_10,1,0
132756,level_25,5,0
132794,level_25,0,0
132919,level_25,36,0
132928,level_25,139,1
132961,level_25,79,0
133088,level_10,50,0
133102,level_25,11,0
133577,level_10,331,1
133783,level_10,12,0
133854,level_25,29,0
133961,level_25,26,0
134380,level_25,117,0
134381,level_25,7,0
134386,level_25,23,0
134428,level_25,26,0
134595,level_25,2,0
134621,level_25,40,0
134692,level_10,15,0
134763,level_25,32,0
134875,level_25,10,0
134885,level_10,432,1
134891,level_25,2,0
134914,level_10,8,0
135084,level_25,16,0
135220,level_25,148,1
135232,level_10,2,0
135315,level_10,2,0
135435,level_25,1,0
135479,level_10,4,0
135584,level_10,4,1
135693,level_10,149,1
135739,level_10,13,0
135910,level_25,5,0
135919,level_10,21,1
135978,level_10,80,1
136109,level_25,1,0
136363,level_25,0,0
136453,level_10,12,0
136496,level_25,1,0
136506,level_10,9,0
136638,level_10,15,0
136647,level_10,13,0
136724,level_25,9,0
136945,level_10,12,0
137089,level_25,2,0
137158,level_10,7,0
137177,level_10,45,0
137354,level_10,18,0
137380,level_25,43,1
137445,level_25,284,1
137520,level_10,9,0
137546,level_25,5,0
137570,level_10,181,1
137586,level_25,21,0
137752,level_25,27,0
137865,level_10,39,0
137911,level_25,19,1
138070,level_25,32,0
138234,level_10,75,1
138257,level_25,0,0
138315,level_10,10,0
138392,level_25,34,0
138521,level_10,4,0
138561,level_10,22,0
138622,level_25,16,0
138886,level_10,59,1
138891,level_10,231,1
138918,level_10,2,0
139072,level_25,681,1
139081,level_25,8,0
139206,level_25,0,0
139211,level_25,3,0
139264,level_10,311,1
139309,level_25,6,0
