username,transacion_date,amount
mccarthyjames,2022-12-27 21:10:47.086895,830.49
khall,2023-01-16 21:09:10.573298,638.81
lopezchad,2023-03-29 06:33:41.864381,528.5
joseph75,2023-02-05 17:57:36.125857,497.94
jade02,2023-02-03 20:13:19.485915,822.73
petersondaniel,2023-02-13 12:32:21.821540,984.02
caroline06,2023-04-06 11:18:48.278562,963.49
williamsjames,2023-02-21 17:00:10.708446,766.08
rushgabriela,2023-02-19 01:59:53.329267,565.8
darryldunn,2023-01-14 08:34:20.570069,222.59
harristimothy,2023-03-08 17:37:56.818978,631.31
ibarker,2023-03-23 04:50:12.090713,194.09
robertsshannon,2023-01-28 16:03:48.935543,435.93
kimberlymcneil,2023-03-24 13:47:40.358186,382.41
martinevans,2023-01-20 17:09:45.454329,855.85
grahamjames,2023-03-02 09:14:01.457237,273.7
michael68,2023-01-07 06:16:03.787542,431.36
apowers,2023-02-22 01:11:28.581081,354.12
roberta22,2023-03-09 01:30:27.117799,538.11
zgilbert,2023-04-02 13:02:33.179552,147.64
veronica20,2023-01-07 11:43:21.967014,707.24
adamnunez,2023-01-18 17:35:09.344143,679.83
crosales,2023-02-19 00:43:33.470081,827.11
james13,2023-03-29 04:34:03.182942,969.02
sbrowning,2023-02-17 17:08:03.386937,181.68
heathersmith,2023-03-26 05:24:06.752649,644.64
kpena,2022-12-15 02:49:49.994048,569.69
lfarrell,2023-01-25 18:46:27.700282,254.33
hernandezkelsey,2023-03-15 23:51:54.213141,493.39
benjamin20,2023-03-02 21:57:11.027417,297.36
johnsonelaine,2022-12-15 00:37:11.095651,248.06
hlittle,2023-01-27 16:36:39.749720,224.37
sarah64,2023-03-18 12:23:08.247506,273.18
josephpage,2023-02-11 11:37:43.996399,128.14
gboyer,2023-03-22 00:40:59.136982,661.21
cordovaderek,2023-03-02 23:48:32.838260,738.02
hfrank,2023-03-02 13:21:28.746657,330.82
benjaminhancock,2023-03-25 12:10:07.937448,134.58
dballard,2023-01-24 20:12:19.640693,688.54
alicia95,2023-01-23 08:09:39.607153,253.83
wbrandt,2023-02-21 18:13:55.759510,748.38
laurenrojas,2022-12-30 23:49:33.989680,986.25
cookashley,2023-04-05 14:30:44.025513,70.35
christian63,2022-12-11 01:30:37.408859,845.39
matthewsbrian,2023-03-31 11:34:26.749398,943.33
gramos,2023-01-12 14:26:34.258504,149.06
charles22,2023-03-04 07:10:51.273075,434.42
carl89,2023-01-14 02:47:28.820332,166.54
thomasbrowning,2023-02-15 07:18:47.241397,653.96
daviswendy,2022-12-18 21:36:10.221174,307.89
markyoung,2023-02-07 01:11:13.491159,883.26
elizabeth30,2023-02-23 04:09:22.738965,148.96
oduran,2023-01-25 02:01:20.325739,442.08
petersbrian,2023-03-25 22:43:54.898425,899.14
lellis,2023-01-12 11:09:30.494030,100.52
james60,2023-02-09 09:12:15.300928,789.91
thompsonstuart,2023-02-16 08:30:52.923866,483.2
youngtravis,2023-02-07 18:37:16.319573,938.52
ochapman,2022-12-17 05:26:57.027721,267.48
michele39,2023-01-26 15:21:20.533620,143.07
browneric,2023-01-03 13:35:36.356326,307.52
clarkeric,2023-03-10 10:58:55.890870,329.02
kevinterrell,2023-02-01 11:49:10.897212,310.5
rossbarbara,2023-03-15 17:43:37.748172,501.25
matthewmartin,2022-12-23 16:38:21.135226,253.89
khancock,2023-03-19 10:45:48.582010,259.67
freynolds,2023-02-22 07:38:10.038457,514.96
david86,2023-03-07 22:41:33.807323,495.28
gomezkimberly,2023-04-05 08:32:32.611180,668.85
brandon90,2022-12-31 16:49:23.631053,706.4
larryellis,2023-03-10 15:40:10.676396,165.6
ymacias,2023-03-10 03:48:32.459911,327.24
kunderwood,2023-01-14 18:08:20.734719,396.61
pamhoffman,2023-02-02 11:28:11.688142,117.25
msanders,2023-02-25 09:48:59.415827,334.12
gmarquez,2023-03-26 20:41:21.253236,946.81
laura23,2022-12-09 20:21:00.213821,462.57
marvin99,2023-01-09 09:26:03.131106,471.26
fpeterson,2023-02-14 10:29:24.815929,521.29
tabitha19,2023-02-10 02:38:36.793161,425.8
marydiaz,2022-12-29 19:04:44.485162,616.38
ericstewart,2023-02-03 03:06:16.856907,94.08
baxtertiffany,2023-02-28 16:41:19.368981,236.34
silvamisty,2023-02-13 03:54:47.506869,56.28
myersdiana,2023-03-20 20:58:56.203773,328.39
smurphy,2023-03-01 07:26:59.726194,195.16
phillipsjennifer,2023-01-22 16:47:35.198781,332.39
craigedwards,2023-01-04 16:32:56.779865,209.6
shelley59,2023-01-06 14:49:02.447383,351.2
hoganjennifer,2023-04-07 21:19:24.935589,367.0
christopher99,2023-03-29 10:11:14.586559,165.05
bchapman,2023-03-27 00:36:23.190416,424.4
stacy98,2022-12-28 14:17:57.006283,577.07
margaret56,2023-03-28 20:38:14.173790,494.45
guerreropamela,2023-03-29 00:36:48.671604,508.17
carrolljames,2022-12-25 19:36:27.922876,219.92
ethompson,2023-03-20 06:10:29.121714,727.57
ballardmatthew,2023-02-21 12:01:52.549850,891.8
sreed,2023-03-21 19:53:29.485427,943.94
charles50,2022-12-20 00:27:38.803639,612.16
brianlewis,2023-03-15 15:45:02.834484,180.36
annascott,2023-04-07 00:34:48.472833,573.06
james80,2022-12-10 17:18:47.443125,532.49
joannemiller,2023-02-06 14:38:42.572828,337.89
aimeelopez,2023-03-17 03:02:42.148122,468.28
dmalone,2023-01-17 00:15:41.454803,434.23
andersonriley,2022-12-27 21:56:01.401793,734.98
thomas27,2023-02-11 06:36:25.998691,803.65
megan13,2023-02-24 00:03:03.107391,293.17
ywarren,2023-02-15 22:02:49.459085,79.58
ngreen,2023-01-09 06:59:44.219398,717.6
bellmichael,2023-03-22 13:56:36.427246,106.77
hreid,2022-12-12 06:39:57.161073,287.96
oreeves,2023-01-25 23:00:49.499003,657.01
timothy05,2023-02-24 04:32:13.334961,360.38
angela99,2023-04-02 21:31:02.852248,516.13
efoster,2023-03-13 21:12:28.733351,239.66
guy36,2023-02-14 17:11:03.665570,614.41
katelyn06,2023-03-29 20:43:24.177531,137.86
cindyprice,2023-02-20 23:49:10.250775,62.68
luceromolly,2022-12-21 20:44:59.682978,285.12
ortegakaren,2023-01-23 10:05:40.247445,144.13
stephanie56,2022-12-14 13:41:06.870532,850.7
colebrandon,2023-01-15 05:10:53.026036,158.85
lroberson,2022-12-24 21:08:43.396781,333.65
gonzalezcynthia,2023-03-08 18:42:35.180361,562.42
marywarren,2023-03-17 04:48:26.598944,122.05
allison78,2023-01-29 10:01:22.189958,577.55
bowmanmatthew,2023-03-19 18:44:39.871578,217.02
marquezanna,2023-02-03 08:43:55.899569,697.76
christopher60,2023-02-01 20:29:28.405435,909.35
lamblisa,2022-12-24 19:09:04.186144,224.02
escobarjesse,2023-03-14 20:28:22.649934,913.11
sherryhill,2023-02-09 21:29:32.099514,683.75
bbell,2023-04-02 14:32:48.103081,930.82
xwilson,2023-03-16 08:21:56.655266,853.49
michelle54,2023-04-06 23:39:46.956803,726.26
mckinneycynthia,2022-12-21 09:33:37.207270,938.0
matthewbell,2023-03-09 23:55:05.147119,520.45
moonmary,2023-01-10 20:21:16.224707,788.5
rebecca96,2023-03-27 08:03:39.306100,192.05
leslie89,2023-01-25 23:20:07.836054,488.45
jefferybrown,2023-02-11 12:06:55.588172,602.88
john34,2023-02-21 03:11:57.321776,452.16
michaelhunter,2023-01-08 15:03:20.148364,327.63
smack,2023-01-03 12:11:19.649793,174.41
barryrebecca,2022-12-18 13:08:58.903428,261.34
along,2022-12-15 11:22:40.492991,340.6
savagerobert,2022-12-14 20:11:29.157123,596.23
emilyhowell,2023-01-31 21:17:18.255920,160.0
feliciasantiago,2023-01-12 05:14:32.628192,133.14
choward,2022-12-27 20:59:34.135737,135.63
josephmolina,2023-02-07 14:22:38.581154,295.33
wtaylor,2023-01-23 19:54:41.662646,105.14
millerjamie,2023-04-07 02:39:14.311034,517.61
george28,2022-12-20 17:13:13.990270,566.07
brittney72,2023-03-31 23:21:53.361888,554.08
justin65,2023-04-09 04:12:41.887671,535.71
kellythompson,2023-02-14 07:52:55.783466,885.75
lori05,2023-03-13 10:33:29.848387,470.07
chadevans,2023-03-18 21:21:16.748322,351.55
laurenmurray,2023-03-11 10:33:43.653750,456.52
eevans,2023-01-17 13:41:28.150202,260.4
lauramatthews,2023-03-27 21:12:38.585592,604.84
alexasteele,2023-02-05 03:05:43.064173,432.73
roberthahn,2023-03-01 16:27:10.131818,148.79
omoore,2023-04-02 00:10:17.469602,708.62
emily65,2023-03-22 17:02:14.951246,761.59
dennis69,2023-01-11 20:23:13.244488,516.78
carolyn05,2023-01-28 02:39:33.597075,637.19
andrewmcdowell,2023-01-30 15:53:21.650771,226.69
masseydavid,2023-03-21 18:59:22.311331,500.1
christinakim,2023-02-23 01:47:11.858418,659.86
melissa10,2022-12-11 07:38:16.636134,154.41
ebrady,2023-02-19 23:50:35.052358,919.68
brittany02,2023-03-10 10:44:57.826189,537.1
ryan42,2023-03-12 14:34:59.578713,880.84
mooneyrebecca,2023-03-05 07:17:11.068343,473.76
jessicaherring,2023-03-06 12:59:42.974128,865.23
shawgary,2023-03-14 13:53:07.238886,406.54
bryanlawson,2023-01-19 08:35:16.543664,639.76
alyssaortega,2023-04-04 03:40:07.228683,114.61
heatherstevens,2023-03-06 22:53:14.476087,648.54
meganpayne,2023-04-09 16:51:47.878059,303.42
mirandamann,2023-02-20 19:46:15.346343,390.48
yscott,2022-12-28 13:48:20.341312,521.55
arosario,2023-02-03 18:28:10.796596,273.24
payneanthony,2022-12-16 12:13:45.226730,565.52
haley93,2022-12-12 22:20:34.141119,990.83
adamlogan,2023-01-10 09:51:29.521624,298.81
tinamoore,2023-01-28 22:22:49.558828,136.17
mark07,2022-12-19 15:23:01.893482,522.83
hunter84,2023-03-03 22:47:14.727229,908.83
stacysmith,2023-04-03 10:38:02.982042,951.56
oliverrenee,2022-12-17 21:14:22.650204,379.85
catherine85,2023-01-10 18:25:43.088257,737.2
xgilbert,2023-02-27 17:05:45.199150,208.94
lindsayvance,2023-03-20 17:48:38.382843,447.29
alexanderharvey,2023-04-09 09:58:47.653581,584.65
joannaparker,2023-03-04 19:42:07.986119,397.91
ncraig,2023-02-01 12:24:54.344410,132.52
mckenziejoseph,2023-02-07 08:51:42.693064,340.33
garciakaren,2023-03-05 04:15:51.071942,629.31
kmartinez,2023-01-03 10:26:33.657156,278.17
mark96,2023-03-08 10:12:37.503842,431.94
kevinsanders,2023-03-09 09:42:47.431406,169.39
rodney09,2023-02-27 20:42:38.376801,57.01
kaylee62,2023-02-07 20:39:53.362206,310.56
carrievalenzuela,2023-03-12 09:35:47.513308,134.15
granttimothy,2023-02-13 21:59:13.505890,213.04
danataylor,2023-02-23 03:49:10.473017,901.06
janetanderson,2023-03-16 16:11:00.314187,772.5
marvin41,2023-03-03 22:59:30.510631,842.19
morrowjames,2022-12-13 22:38:46.408663,544.34
margaret33,2023-02-06 12:29:27.714976,270.5
qcobb,2023-03-29 04:47:09.554828,582.6
pattersonmegan,2023-04-06 18:32:30.235038,729.33
pcox,2022-12-23 21:07:25.188263,157.7
morenocraig,2022-12-18 02:29:31.562015,835.27
sarahkelly,2023-03-27 00:06:41.592210,337.2
vbray,2023-01-29 05:10:31.106593,149.83
michealreyes,2023-01-26 18:32:41.043607,903.29
kevin60,2023-02-03 12:20:33.901254,648.63
guybray,2023-02-21 21:12:46.131938,249.52
amanda69,2023-02-24 17:23:46.517493,307.21
wgomez,2023-04-07 21:16:07.472962,564.92
gsmith,2023-01-29 13:46:46.024361,314.72
anthony43,2023-03-09 23:43:58.649151,296.55
smunoz,2023-01-25 10:25:16.669399,187.73
aparker,2023-03-25 14:51:15.118962,396.12
ebuchanan,2022-12-17 01:28:25.042094,957.16
amyers,2023-01-23 03:35:56.160069,391.22
smithalexander,2022-12-14 12:15:15.267854,582.43
maryjackson,2022-12-30 01:52:48.327055,971.08
mario46,2023-01-29 03:36:08.350785,600.2
garciajames,2022-12-13 23:16:01.747110,840.08
paul28,2023-01-22 07:32:43.693918,61.13
xgonzalez,2023-03-11 05:32:55.635867,674.73
santoscatherine,2023-02-05 10:34:49.280468,795.93
lindsaylewis,2023-01-03 01:58:43.751081,834.57
bbuck,2023-01-11 08:18:23.705184,211.92
pattersonmarilyn,2022-12-28 04:56:54.513937,970.12
fmartin,2023-01-25 01:49:19.726496,86.44
adriennehamilton,2023-01-01 07:41:40.095163,402.7
leekimberly,2022-12-14 20:25:40.097378,784.23
dedwards,2023-01-09 04:43:46.989739,914.56
christopher04,2022-12-26 17:57:45.850701,920.46
hooderika,2023-02-07 23:42:46.154194,159.21
jimchapman,2023-03-25 03:27:31.893843,794.22
tapiabrenda,2023-02-13 12:38:40.007306,821.65
taralambert,2023-02-18 14:10:04.188019,379.78
millermary,2022-12-10 20:04:36.967797,217.16
uhull,2022-12-31 11:39:32.668434,907.53
rharmon,2023-01-03 01:56:51.827535,687.59
emilyalvarez,2022-12-26 02:58:41.151788,808.13
andersonmargaret,2023-01-07 04:10:56.570494,934.13
nathan74,2022-12-17 06:30:12.722951,986.83
jacob82,2023-03-30 15:21:24.921200,637.52
juliaballard,2023-01-19 04:04:43.291680,772.94
emartin,2023-01-11 17:05:19.123438,459.72
wellschristopher,2023-02-16 07:33:45.248469,461.65
jason42,2023-01-27 06:54:16.622219,693.29
gburke,2023-01-06 17:32:46.043003,922.37
amber12,2023-03-23 00:20:34.194578,352.32
markoconnor,2023-01-21 01:17:08.083760,685.8
erikarice,2023-01-18 02:28:10.352745,770.69
jenna73,2022-12-09 14:59:04.485607,719.97
uhoward,2023-03-08 18:53:54.933316,241.03
robertsharp,2023-04-06 10:21:30.293524,669.34
marymoore,2023-02-28 09:11:43.661440,127.86
harringtonpaul,2023-02-03 10:17:51.312521,357.57
michaelperez,2023-04-08 17:22:28.816222,975.87
jason96,2023-03-06 12:44:23.726779,810.08
lopezdorothy,2022-12-23 09:44:16.633094,871.49
davidandersen,2023-02-08 16:27:38.804063,102.32
padillaphillip,2023-02-15 19:43:09.908191,498.44
cwagner,2022-12-30 20:01:35.483505,555.55
gjackson,2022-12-09 02:32:08.234172,688.43
julia95,2023-01-06 12:11:27.739188,692.94
claytonhodge,2023-04-04 05:03:46.126864,88.02
marcmoore,2023-02-21 18:38:27.222602,358.81
belltiffany,2023-03-03 04:08:22.716629,384.83
ivan36,2023-03-20 00:06:15.471594,112.92
charles52,2023-01-15 13:40:43.734904,879.22
zmaldonado,2023-03-21 18:30:22.099176,602.64
cruzchristine,2023-04-02 08:55:08.860789,100.93
shane16,2023-01-02 16:53:42.594054,980.8
catherinelong,2023-01-20 11:48:35.404929,749.51
craig03,2023-01-17 09:06:00.450694,168.86
christophergalvan,2023-02-28 08:43:31.322526,60.13
knewton,2022-12-23 00:13:40.871096,417.31
prattryan,2023-04-07 07:52:13.954338,129.35
carterkeith,2023-03-09 22:39:06.115016,903.27
mnavarro,2023-03-20 11:37:19.015717,361.18
palmerdouglas,2023-03-10 12:14:48.886182,238.71
donnakennedy,2023-04-08 22:15:38.417516,704.55
ypatterson,2023-01-24 11:38:15.244416,981.31
jeremyscott,2023-02-13 20:53:19.360945,464.52
cynthiawilliams,2023-01-15 07:48:42.386545,573.37
sherry28,2022-12-25 01:59:09.475635,380.19
ecox,2023-01-08 06:34:25.488933,828.34
brittanycooper,2023-01-30 11:58:51.870078,183.82
robertcooper,2023-03-26 11:07:54.010339,176.83
anna51,2023-01-04 10:33:51.724189,330.49
beckamy,2023-01-07 06:19:33.377840,877.85
brownkatherine,2023-02-21 03:13:41.934831,865.21
mlawrence,2023-02-13 11:57:14.416289,607.87
benjaminvincent,2023-03-15 00:11:32.286254,210.29
davidmorgan,2023-01-04 18:29:54.501608,209.5
laurasantos,2023-01-29 02:14:03.004276,810.97
ikelly,2023-01-10 03:46:35.748880,699.44
tuckerstephen,2023-02-07 13:43:48.737659,192.28
dawn93,2022-12-21 12:44:40.882290,667.73
dalvarez,2023-01-12 10:31:15.318315,583.07
scott74,2023-04-02 12:49:23.005220,106.79
mnichols,2023-01-05 03:24:28.718625,646.6
veronicaadams,2023-03-13 19:24:27.278723,769.6
janetcrawford,2023-02-03 02:41:10.991444,85.15
timothy57,2023-02-27 07:11:00.016945,186.98
yvonneschwartz,2023-03-14 23:22:52.557436,673.49
katherine76,2023-01-26 08:51:59.214409,173.71
davidcoffey,2023-01-25 01:08:25.187028,977.71
donna94,2023-03-12 08:34:38.661644,211.19
griffithjessica,2023-02-22 16:02:58.119158,409.2
hjenkins,2023-02-25 21:45:20.781390,950.72
hardymichael,2023-01-27 11:01:13.780016,442.41
racheljohnson,2023-01-01 14:20:42.976609,299.57
carlosshelton,2023-02-21 16:12:53.340777,51.89
colemancasey,2023-03-19 06:55:35.438811,160.89
adrian72,2023-02-27 04:46:04.809609,375.75
natalie47,2022-12-17 18:02:32.851473,950.55
mmiller,2023-02-26 21:13:19.008641,763.53
bethwalton,2023-01-24 19:10:43.368904,966.51
maria90,2023-03-19 11:32:19.629308,193.01
qstanley,2023-01-30 11:22:39.172236,931.07
deborah40,2022-12-22 06:26:15.294317,146.68
mary68,2023-02-28 20:38:37.251323,833.61
edward82,2023-04-06 13:15:40.164194,394.28
steve39,2023-04-06 20:31:24.610091,955.9
annataylor,2023-01-17 09:43:44.530443,814.21
glove,2022-12-14 08:03:39.230185,285.46
patriciapowell,2023-01-30 04:52:28.217932,538.51
edwardcain,2022-12-28 14:07:19.289062,159.51
taylorgarcia,2023-03-26 10:24:46.203058,692.75
tylerlaurie,2023-01-14 11:05:51.576315,534.25
michelle32,2023-02-01 04:37:50.989819,590.52
castillojennifer,2023-04-05 18:30:38.294927,252.96
kimberly65,2023-02-04 10:33:34.618870,317.07
fernandogarza,2023-02-13 14:31:50.025548,189.75
kayla41,2023-03-11 12:37:12.233317,856.8
kimberly93,2023-03-25 08:11:00.768611,804.8
karen27,2023-02-14 20:32:17.462613,384.78
leslie28,2023-01-02 16:10:48.743602,125.92
jonathanmiller,2023-02-16 08:46:26.671985,482.8
matthew35,2023-03-17 01:29:55.595959,991.47
umitchell,2023-04-08 05:35:08.211855,534.29
alewis,2023-02-21 10:41:30.050337,84.64
uanderson,2023-02-05 15:41:51.469017,970.1
hmassey,2023-03-26 13:39:11.651823,879.26
daniel71,2023-01-13 19:18:49.752751,92.81
gordontaylor,2023-02-17 16:49:58.138492,702.24
frankdanielle,2023-01-30 05:30:49.395143,501.88
cynthia63,2023-01-01 07:36:35.398061,302.43
deborahpugh,2023-01-02 18:40:34.437739,164.55
eparrish,2023-01-22 08:09:03.190309,137.4
zhernandez,2023-02-25 01:35:18.854475,812.14
edward39,2023-03-29 21:02:11.473952,328.72
melissa63,2022-12-24 08:06:35.618618,459.76
teresagraham,2023-02-08 21:05:42.101162,73.88
sarahdillon,2023-01-08 21:48:21.295865,620.73
brownmark,2023-02-24 02:48:38.578064,882.26
astevens,2023-02-10 02:14:14.779844,507.98
tracibrewer,2022-12-10 09:49:48.358183,386.97
brenda58,2022-12-20 08:04:47.994764,402.36
sarahblackwell,2023-03-27 14:20:16.887949,176.83
robertanderson,2023-02-01 09:52:16.519952,832.7
alexisward,2023-03-29 16:43:59.668993,408.94
tracy44,2022-12-11 15:58:40.856847,366.98
burnsrhonda,2023-03-25 04:37:04.560355,829.89
pabbott,2022-12-09 14:09:31.089585,969.97
phelpstammy,2022-12-26 11:20:48.412504,918.63
ksanchez,2023-01-29 08:01:32.091967,953.83
ashley85,2023-01-27 18:28:31.638513,238.95
markrodriguez,2023-02-12 20:11:07.776362,698.65
jessicarodgers,2023-02-08 16:07:35.323269,184.6
powelllaura,2023-03-31 11:53:01.508021,688.93
olsonchristina,2022-12-23 11:29:36.589263,554.38
martinstacy,2023-01-18 09:50:41.500520,193.31
alexandriajimenez,2023-01-21 07:23:01.421199,684.96
kaylaphillips,2023-02-12 13:28:50.686648,863.65
romeromichael,2023-02-02 10:52:41.441281,759.78
joserodriguez,2023-04-07 14:48:24.028844,648.7
stevenbryant,2023-01-22 03:58:13.530948,594.58
jesseswanson,2023-02-28 02:35:00.097823,94.78
jessicahoffman,2022-12-29 05:51:22.745451,299.6
shannonthompson,2022-12-25 21:51:06.489578,791.62
